PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
VACCINES,INFANRIX DTAP,"DIPH,PERTUSS(ACELL),TET PED/PF","INFANRIX DTAP : DIPH,PERTUSS(ACELL),TET PED/PF",304,156,309,12496
IRON,INFED,IRON DEXTRAN COMPLEX,INFED : IRON DEXTRAN COMPLEX,24,23,32,8017
IMMUNE STIMULANTS,INFERGEN,INTERFERON ALFACON-1,INFERGEN : INTERFERON ALFACON-1,23,25,71,248339
OPIOID ANALGESICS,INFUMORPH,MORPHINE SULFATE/PF,INFUMORPH : MORPHINE SULFATE/PF,33,20,86,23572
"VITAMIN COMBINATIONS,OTHER",INFUVITE ADULT,"MVI, ADULT NO.4 WITH VIT K","INFUVITE ADULT : MVI, ADULT NO.4 WITH VIT K",NaN,NaN,12,469
"ANTINEOPLASTIC,OTHER",INLYTA,AXITINIB,INLYTA : AXITINIB,1378,1099,6056,57428807
BETA BLOCKERS/RELATED,INNOPRAN XL,PROPRANOLOL HCL,INNOPRAN XL : PROPRANOLOL HCL,1565,1616,7122,3704501
POTASSIUM SPARING/COMBINATIONS DIURETICS,INSPRA,EPLERENONE,INSPRA : EPLERENONE,398,424,1927,576954
MEDICAL SUPPLY,INSULIN PEN NEEDLE,"NEEDLES, INSULIN DISPOSABLE","INSULIN PEN NEEDLE : NEEDLES, INSULIN DISPOSABLE",199,189,432,10069
MEDICAL SUPPLY,INSULIN SYRINGE,"SYR W-NDL,INS 0.3 ML HALF MARK","INSULIN SYRINGE : SYR W-NDL,INS 0.3 ML HALF MARK",15336,13940,39973,1164088
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.3ML","INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.3ML",154966,90584,446289,11407230
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5ML","INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.5ML",406391,148840,1342220,34957544
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRING W-O NDL,DISP,INSUL, 1ML","INSULIN SYRINGE : SYRING W-O NDL,DISP,INSUL, 1ML",246,244,585,8497
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",378545,146677,1200684,31332042
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRINGE W-NDL, DISP,INSUL,2ML","INSULIN SYRINGE : SYRINGE W-NDL, DISP,INSUL,2ML",11,NaN,20,646
MEDICAL SUPPLY,INSULIN SYRINGE,"SYRINGE W-NDL, DISP., INSULIN","INSULIN SYRINGE : SYRINGE W-NDL, DISP., INSULIN",18,17,30,575
MEDICAL SUPPLY,INSUMED,"SYRING W-NDL,DISP,INSUL,0.3ML","INSUMED : SYRING W-NDL,DISP,INSUL,0.3ML",45,26,125,2471
MEDICAL SUPPLY,INSUPEN,"NEEDLES, INSULIN DISPOSABLE","INSUPEN : NEEDLES, INSULIN DISPOSABLE",3124,2424,8755,179434
"VITAMIN COMBINATIONS,OTHER",INTEGRA F,IRON FUM & PS CMP/FA/VIT C/B3,INTEGRA F : IRON FUM & PS CMP/FA/VIT C/B3,44,44,98,1745
"VITAMIN COMBINATIONS,OTHER",INTEGRA PLUS,IRON FUM & P/FA/VIT B & C NO.9,INTEGRA PLUS : IRON FUM & P/FA/VIT B & C NO.9,509,451,1910,45356
MEDICAL SUPPLY,INTEGRA SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","INTEGRA SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",139,64,530,16605
MEDICAL SUPPLY,INTEGRA SYRINGE,"SYRINGE,SAFETY W-NDL,1ML","INTEGRA SYRINGE : SYRINGE,SAFETY W-NDL,1ML",92,94,136,579
ANTIVIRALS,INTELENCE,ETRAVIRINE,INTELENCE : ETRAVIRINE,12377,5673,104748,95032376
"SEDATIVES/HYPNOTICS,OTHER",INTERMEZZO,ZOLPIDEM TARTRATE,INTERMEZZO : ZOLPIDEM TARTRATE,2842,2682,6457,1394962
LIPID SUPPLEMENTS,INTRALIPID,FAT EMULSIONS,INTRALIPID : FAT EMULSIONS,472,452,5409,947010
IMMUNE STIMULANTS,INTRON A,"INTERFERON ALFA-2B,RECOMB.","INTRON A : INTERFERON ALFA-2B,RECOMB.",826,725,3377,5570657
CONTRACEPTIVES/WOMANS HEALTH ,INTROVALE,LEVONORGESTREL-ETH ESTRADIOL,INTROVALE : LEVONORGESTREL-ETH ESTRADIOL,599,637,1256,137953
SYMPATHOMIMETICS (ADRENERGICS),INTUNIV,GUANFACINE HCL,INTUNIV : GUANFACINE HCL,2024,1990,10941,2794433
"ANTIBIOTICS, PENICILLINS/NATURAL",PENICILLIN GK-ISO-OSM DEXTROSE,PEN G POT/DEXTROSE-WATER,PENICILLIN GK-ISO-OSM DEXTROSE : PEN G POT/DEXTROSE-WATER,123,128,429,181981
"ANTIPSYCHOTICS, 2ND GENERATION",INVEGA,PALIPERIDONE,INVEGA : PALIPERIDONE,37637,22071,295528,230414118
"ANTIPSYCHOTICS, 2ND GENERATION",INVEGA SUSTENNA,PALIPERIDONE PALMITATE,INVEGA SUSTENNA : PALIPERIDONE PALMITATE,38061,14226,303093,424315674
ANTIVIRALS,INVIRASE,SAQUINAVIR MESYLATE,INVIRASE : SAQUINAVIR MESYLATE,997,909,8650,8271933
"ORAL HYPOGLYCEMIC AGENTS,ORAL",INVOKANA,CANAGLIFLOZIN,INVOKANA : CANAGLIFLOZIN,18628,9886,47198,16132162
"OPHTHALMICS,OTHER",IOPIDINE,APRACLONIDINE HCL,IOPIDINE : APRACLONIDINE HCL,307,144,607,128750
VACCINES,IPOL,"POLIOMYELITIS VACCINE, KILLED","IPOL : POLIOMYELITIS VACCINE, KILLED",2039,1365,2238,90385
"NASAL AND THROAT,TOPICAL,OTHER",IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE : IPRATROPIUM BROMIDE,305245,89499,845073,20204998
"ANTIASTHMA,OTHER",IPRATROPIUM-ALBUTEROL,IPRATROPIUM/ALBUTEROL SULFATE,IPRATROPIUM-ALBUTEROL : IPRATROPIUM/ALBUTEROL SULFATE,241730,48314,823859,22935590
ANGIOTENSIN II INHIBITOR,IRBESARTAN,IRBESARTAN,IRBESARTAN : IRBESARTAN,237235,105005,1244785,76936816
ANTIHYPERTENSIVE COMBINATIONS,IRBESARTAN-HYDROCHLOROTHIAZIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,IRBESARTAN-HYDROCHLOROTHIAZIDE : IRBESARTAN/HYDROCHLOROTHIAZIDE,55756,38654,278923,23075101
"ANTINEOPLASTIC,OTHER",IRINOTECAN HCL,IRINOTECAN HCL,IRINOTECAN HCL : IRINOTECAN HCL,264,142,1181,1625661
"VITAMIN COMBINATIONS,OTHER",IROSPAN,IRON BISGLY & PS/FA/B&C#12/SUC,IROSPAN : IRON BISGLY & PS/FA/B&C#12/SUC,73,58,201,15578
ANTIVIRALS,ISENTRESS,RALTEGRAVIR POTASSIUM,ISENTRESS : RALTEGRAVIR POTASSIUM,39132,11468,338249,377797183
"ANTIBIOTICS, ANTITUBERCULARS",ISONIAZID,ISONIAZID,ISONIAZID : ISONIAZID,15218,12355,52542,625495
"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC",ISOPTO ATROPINE,ATROPINE SULFATE,ISOPTO ATROPINE : ATROPINE SULFATE,34,34,43,1677
"MIOTICS,TOPICAL OPHTHALMIC",ISOPTO CARBACHOL,CARBACHOL,ISOPTO CARBACHOL : CARBACHOL,13,14,22,1366
"MIOTICS,TOPICAL OPHTHALMIC",ISOPTO CARPINE,PILOCARPINE HCL,ISOPTO CARPINE : PILOCARPINE HCL,1290,1099,2978,249906
"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC",ISOPTO HOMATROPINE,HOMATROPINE HBR,ISOPTO HOMATROPINE : HOMATROPINE HBR,338,328,383,14802
"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC",ISOPTO HYOSCINE,SCOPOLAMINE HYDROBROMIDE,ISOPTO HYOSCINE : SCOPOLAMINE HYDROBROMIDE,88,86,97,3672
ANTIANGINALS,ISORDIL,ISOSORBIDE DINITRATE,ISORDIL : ISOSORBIDE DINITRATE,1355,1433,5751,1193202
ANTIANGINALS,ISORDIL TITRADOSE,ISOSORBIDE DINITRATE,ISORDIL TITRADOSE : ISOSORBIDE DINITRATE,13,13,26,1901
ANTIANGINALS,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE : ISOSORBIDE DINITRATE,149079,95033,734549,47797271
ANTIANGINALS,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE : ISOSORBIDE MONONITRATE,42714,34496,238658,4849703
ANTIANGINALS,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE ER : ISOSORBIDE MONONITRATE,1079893,241756,6096145,110423897
CALCIUM CHANNEL BLOCKERS,ISRADIPINE,ISRADIPINE,ISRADIPINE : ISRADIPINE,5164,4967,26277,3460655
"BETA-BLOCKERS,TOPICAL OPHTHALMIC",ISTALOL,TIMOLOL MALEATE,ISTALOL : TIMOLOL MALEATE,15981,7994,55064,10802860
"ANTINEOPLASTIC,OTHER",ISTODAX,ROMIDEPSIN,ISTODAX : ROMIDEPSIN,NaN,NaN,20,327993
ANTIFUNGALS,ITRACONAZOLE,ITRACONAZOLE,ITRACONAZOLE : ITRACONAZOLE,11424,9441,30375,13211523
MEDICAL SUPPLY,IV PREP WIPES,ALCOHOL ANTISEPTIC PADS,IV PREP WIPES : ALCOHOL ANTISEPTIC PADS,55,55,78,1873
"ANTINEOPLASTIC,OTHER",IXEMPRA,IXABEPILONE,IXEMPRA : IXABEPILONE,20,16,87,327393
VACCINES,IXIARO,JAPANESE ENCEPHALITIS VACC/PF,IXIARO : JAPANESE ENCEPHALITIS VACC/PF,157,123,222,65019
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,J-COF DHC,BROMPHENRM/PSEUDOEPH/DIHYDROCD,J-COF DHC : BROMPHENRM/PSEUDOEPH/DIHYDROCD,87,45,127,6075
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,J-MAX DHC,DIHYDROCODEINE/GUAIFENESIN,J-MAX DHC : DIHYDROCODEINE/GUAIFENESIN,11,NaN,14,488
"IMMUNOLOGICAL AGENTS,OTHER",JAKAFI,RUXOLITINIB PHOSPHATE,JAKAFI : RUXOLITINIB PHOSPHATE,2435,2055,16003,131403245
"GENITO-URINARY AGENTS,OTHER",JALYN,DUTASTERIDE/TAMSULOSIN HCL,JALYN : DUTASTERIDE/TAMSULOSIN HCL,51758,23733,256199,47702418
ANTICOAGULANTS,JANTOVEN,WARFARIN SODIUM,JANTOVEN : WARFARIN SODIUM,174326,81865,1118299,10721936
"ORAL HYPOGLYCEMIC AGENTS,ORAL",JANUMET,SITAGLIPTIN PHOS/METFORMIN HCL,JANUMET : SITAGLIPTIN PHOS/METFORMIN HCL,201515,86133,1102008,367436927
"ORAL HYPOGLYCEMIC AGENTS,ORAL",JANUMET XR,SITAGLIPTIN PHOS/METFORMIN HCL,JANUMET XR : SITAGLIPTIN PHOS/METFORMIN HCL,31910,21157,125260,39739081
"ORAL HYPOGLYCEMIC AGENTS,ORAL",JANUVIA,SITAGLIPTIN PHOSPHATE,JANUVIA : SITAGLIPTIN PHOSPHATE,761776,186130,4358783,1460522984
PROGESTINS,JENCYCLA,NORETHINDRONE,JENCYCLA : NORETHINDRONE,24,24,25,701
"ORAL HYPOGLYCEMIC AGENTS,ORAL",JENTADUETO,LINAGLIPTIN/METFORMIN HCL,JENTADUETO : LINAGLIPTIN/METFORMIN HCL,9969,5951,41456,11716332
"ANTINEOPLASTIC,OTHER",JEVANTIQUE,NORETHIND AC/ETHINYL ESTRADIOL,JEVANTIQUE : NORETHIND AC/ETHINYL ESTRADIOL,132,132,183,12652
"ANTINEOPLASTIC,OTHER",JEVTANA,CABAZITAXEL,JEVTANA : CABAZITAXEL,39,35,196,1861442
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",JINTELI,NORETHIND AC/ETHINYL ESTRADIOL,JINTELI : NORETHIND AC/ETHINYL ESTRADIOL,4988,4720,21744,1744422
CONTRACEPTIVES/WOMANS HEALTH ,JOLESSA,LEVONORGESTREL-ETH ESTRADIOL,JOLESSA : LEVONORGESTREL-ETH ESTRADIOL,1617,1716,3215,360483
CONTRACEPTIVES/WOMANS HEALTH ,JOLIVETTE,NORETHINDRONE,JOLIVETTE : NORETHINDRONE,2216,2331,8304,275104
CONTRACEPTIVES/WOMANS HEALTH ,JUNEL,NORETHINDRONE A-E ESTRADIOL,JUNEL : NORETHINDRONE A-E ESTRADIOL,2188,2303,9691,281781
CONTRACEPTIVES/WOMANS HEALTH ,JUNEL FE,NORETH A-ET ESTRA/FE FUMARATE,JUNEL FE : NORETH A-ET ESTRA/FE FUMARATE,3974,4059,17605,444008
"ORAL HYPOGLYCEMIC AGENTS,ORAL",JUVISYNC,SITAGLIPTIN/SIMVASTATIN,JUVISYNC : SITAGLIPTIN/SIMVASTATIN,687,686,3252,1067520
ANTILIPEMIC AGENTS,JUXTAPID,LOMITAPIDE MESYLATE,JUXTAPID : LOMITAPIDE MESYLATE,179,130,622," $14,989,069.00 "
PHAMRACEUTICAL AIDS/REAGENTS,K EFFERVESCENT,POTASSIUM BICARBONATE/CIT AC,K EFFERVESCENT : POTASSIUM BICARBONATE/CIT AC,2759,2622,8093,219750
PHAMRACEUTICAL AIDS/REAGENTS,K-PHOS NEUTRAL,PHOSPHORUS #1,K-PHOS NEUTRAL : PHOSPHORUS #1,202,206,515,17631
PHAMRACEUTICAL AIDS/REAGENTS,K-PHOS NO.2,"NA PHOS,M-B/K PHOS,MONOB","K-PHOS NO.2 : NA PHOS,M-B/K PHOS,MONOB",15,17,39,1662
PHAMRACEUTICAL AIDS/REAGENTS,K-PHOS ORIGINAL,"POTASSIUM PHOSPHATE,MONOBASIC","K-PHOS ORIGINAL : POTASSIUM PHOSPHATE,MONOBASIC",154,171,425,9707
POTASSIUM,K-TAB ER,POTASSIUM CHLORIDE,K-TAB ER : POTASSIUM CHLORIDE,78021,13274,229960,8130863
"ANTINEOPLASTIC,OTHER",KADCYLA,ADO-TRASTUZUMAB EMTANSINE,KADCYLA : ADO-TRASTUZUMAB EMTANSINE,49,43,285,2002118
OPIOID ANALGESICS,KADIAN,MORPHINE SULFATE,KADIAN : MORPHINE SULFATE,7374,7186,38565,24949113
"IMMUNOLOGICAL AGENTS,OTHER",KALBITOR,ECALLANTIDE,KALBITOR : ECALLANTIDE,70,65,508,8923751
ANTIVIRALS,KALETRA,LOPINAVIR/RITONAVIR,KALETRA : LOPINAVIR/RITONAVIR,13631,7232,112325,90276400
"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",KALEXATE,SODIUM POLYSTYRENE SULFONATE,KALEXATE : SODIUM POLYSTYRENE SULFONATE,29,28,39,4066
"RESPIRATORY AGENTS,OTHER",KALYDECO,IVACAFTOR,KALYDECO : IVACAFTOR,88,94,690,18218315
"ANTIHYPERTENSIVES,OTHER",KAPVAY,CLONIDINE HCL,KAPVAY : CLONIDINE HCL,350,355,1397,378418
CONTRACEPTIVES/WOMANS HEALTH ,KARIVA,DESOG-E.ESTRADIOL/E.ESTRADIOL,KARIVA : DESOG-E.ESTRADIOL/E.ESTRADIOL,867,960,4919,234554
"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",KAYEXALATE,SODIUM POLYSTYRENE SULFONATE,KAYEXALATE : SODIUM POLYSTYRENE SULFONATE,236,237,351,139304
"ORAL HYPOGLYCEMIC AGENTS,ORAL",KAZANO,ALOGLIPTIN BENZ/METFORMIN HCL,KAZANO : ALOGLIPTIN BENZ/METFORMIN HCL,347,279,776,231279
"ANTIBIOTICS, PENICILLIN/CEPHALOSPORIN 4TH GENERATION",CEFEPIME,"CEFEPIME HCL/DEXTROSE, ISO-OSM","CEFEPIME : CEFEPIME HCL/DEXTROSE, ISO-OSM",1569,1044,4827,1195502
CONTRACEPTIVES/WOMANS HEALTH ,KELNOR 1-35,ETHYNODIOL D-ETHINYL ESTRADIOL,KELNOR 1-35 : ETHYNODIOL D-ETHINYL ESTRADIOL,529,587,2776,85010
GLUCOCORTICOIDS,KENALOG,TRIAMCINOLONE ACETONIDE,KENALOG : TRIAMCINOLONE ACETONIDE,5472,3920,9420,2119054
GLUCOCORTICOIDS,KENALOG-10,TRIAMCINOLONE ACETONIDE,KENALOG-10 : TRIAMCINOLONE ACETONIDE,319,252,485,11354
GLUCOCORTICOIDS,KENALOG-40,TRIAMCINOLONE ACETONIDE,KENALOG-40 : TRIAMCINOLONE ACETONIDE,11734,5339,15963,457016
ANTICONVULSANTS,KEPPRA,LEVETIRACETAM,KEPPRA : LEVETIRACETAM,11384,8448,92074,79333341
ANTICONVULSANTS,KEPPRA XR,LEVETIRACETAM,KEPPRA XR : LEVETIRACETAM,3889,3033,28137,21222059
"KERATOLYTICS/CAUSTICS,TOPICAL",KERALYT,SALICYLIC ACID,KERALYT : SALICYLIC ACID,76,66,105,4702
"ANTIBIOTICS, PENICILLINS/NATURAL",PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM : PENICILLIN V POTASSIUM,572668,156652,751037,7128475
ANTIFUNGALS,KETOCONAZOLE,KETOCONAZOLE,KETOCONAZOLE : KETOCONAZOLE,805614,176487,1659901,35601847
ANTIFUNGALS,KETODAN,KETOCONAZOLE,KETODAN : KETOCONAZOLE,99,84,123,39229
"ANTIFUNGAL,TOPICAL",KETODAN,KETOCONAZOLE/SKIN CLEANSER #28,KETODAN : KETOCONAZOLE/SKIN CLEANSER #28,41,31,65,23810
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",KETOPROFEN,KETOPROFEN,KETOPROFEN : KETOPROFEN,34925,14988,92509,10485465
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE : KETOROLAC TROMETHAMINE,517130,76134,886711,19394529
"ANTIRHEUMATICS,OTHER",KINERET,ANAKINRA,KINERET : ANAKINRA,390,380,2241,6661353
VACCINES,KINRIX,"DIPH,PERTUS(ACEL),TET,POLIO/PF","KINRIX : DIPH,PERTUS(ACEL),TET,POLIO/PF",29,19,29,1810
"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",KIONEX,SODIUM POLYSTYRENE SULFONATE,KIONEX : SODIUM POLYSTYRENE SULFONATE,39821,23445,73399,4406909
"ANTIBACTERIAL,TOPICAL",KLARON,SULFACETAMIDE SODIUM,KLARON : SULFACETAMIDE SODIUM,76,73,101,23851
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,KLONOPIN,CLONAZEPAM,KLONOPIN : CLONAZEPAM,3649,4050,16857,3162080
POTASSIUM,KLOR-CON,POTASSIUM CHLORIDE,KLOR-CON : POTASSIUM CHLORIDE,41128,35708,120581,8206155
POTASSIUM,KLOR-CON 10,POTASSIUM CHLORIDE,KLOR-CON 10 : POTASSIUM CHLORIDE,428682,156876,1701242,50195197
POTASSIUM,KLOR-CON 8,POTASSIUM CHLORIDE,KLOR-CON 8 : POTASSIUM CHLORIDE,105224,52580,464498,14209249
POTASSIUM,KLOR-CON M10,POTASSIUM CHLORIDE,KLOR-CON M10 : POTASSIUM CHLORIDE,335215,136103,1303304,32537821
POTASSIUM,KLOR-CON M15,POTASSIUM CHLORIDE,KLOR-CON M15 : POTASSIUM CHLORIDE,2164,2267,8412,305057
POTASSIUM,KLOR-CON M20,POTASSIUM CHLORIDE,KLOR-CON M20 : POTASSIUM CHLORIDE,777559,219443,3233402,87720056
POTASSIUM,KLOR-CON-EF,POTASSIUM BICARBONATE/CIT AC,KLOR-CON-EF : POTASSIUM BICARBONATE/CIT AC,3811,3617,12277,334080
"ORAL HYPOGLYCEMIC AGENTS,ORAL",KOMBIGLYZE XR,SAXAGLIPTIN HCL/METFORMIN HCL,KOMBIGLYZE XR : SAXAGLIPTIN HCL/METFORMIN HCL,41817,24052,202814,65285548
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",KORLYM,MIFEPRISTONE,KORLYM : MIFEPRISTONE,52,47,188,2580203
HYPEROSMOTIC LAXATIVES,KRISTALOSE,LACTULOSE,KRISTALOSE : LACTULOSE,9043,6867,23168,3215954
ANTIGOUT AGENTS,KRYSTEXXA,PEGLOTICASE,KRYSTEXXA : PEGLOTICASE,36,32,134,1170501
CONTRACEPTIVES/WOMANS HEALTH ,KURVELO,LEVONORGESTREL-ETH ESTRADIOL,KURVELO : LEVONORGESTREL-ETH ESTRADIOL,94,101,217,6362
"ANTIDOTES/DETERRENTS,OTHER",KUVAN,SAPROPTERIN DIHYDROCHLORIDE,KUVAN : SAPROPTERIN DIHYDROCHLORIDE,118,91,1051,14597988
ANTILIPEMIC AGENTS,KYNAMRO,MIPOMERSEN SODIUM,KYNAMRO : MIPOMERSEN SODIUM,NaN,NaN,22," $326,932.00 "
"VITAMIN COMBINATIONS,OTHER",L-MEFOLATE-PYRIDOX-MECOBALAMIN,METHYL-B12/L-MEFOLATE/B6 PHOS,L-MEFOLATE-PYRIDOX-MECOBALAMIN : METHYL-B12/L-MEFOLATE/B6 PHOS,446,426,938,56647
"VITAMIN COMBINATIONS,OTHER",L-METHYL-B6-B12,METHYL-B12/L-MEFOLATE/B6 PHOS,L-METHYL-B6-B12 : METHYL-B12/L-MEFOLATE/B6 PHOS,1695,1548,5366,428455
"VITAMIN COMBINATIONS,OTHER",L-METHYL-MC,VIT B12/LMEFOLATE CA/VIT B6/B2,L-METHYL-MC : VIT B12/LMEFOLATE CA/VIT B6/B2,166,166,668,63524
"VITAMIN COMBINATIONS,OTHER",L-METHYL-MC NAC,ACETYL/METHYL-B12/LMEFOLATE CA,L-METHYL-MC NAC : ACETYL/METHYL-B12/LMEFOLATE CA,187,176,463,40237
FOLIC ACID/LEUCOVORIN,L-METHYLFOLATE,LEVOMEFOLATE CALCIUM,L-METHYLFOLATE : LEVOMEFOLATE CALCIUM,234,234,530,59362
FOLIC ACID/LEUCOVORIN,L-METHYLFOLATE CALCIUM,LEVOMEFOLATE CALCIUM,L-METHYLFOLATE CALCIUM : LEVOMEFOLATE CALCIUM,795,758,2945,289613
FOLIC ACID/LEUCOVORIN,L-METHYLFOLATE FORTE,LEVOMEFOLATE/ALGAL OIL,L-METHYLFOLATE FORTE : LEVOMEFOLATE/ALGAL OIL,40,38,72,12801
"VITAMIN COMBINATIONS,OTHER",L-METHYLFOLATE-MECOBALAMIN-NAC,ACETYL/METHYL-B12/LMEFOLATE CA,L-METHYLFOLATE-MECOBALAMIN-NAC : ACETYL/METHYL-B12/LMEFOLATE CA,124,107,350,27931
BETA BLOCKERS/RELATED,LABETALOL HCL,LABETALOL HCL,LABETALOL HCL : LABETALOL HCL,232616,130734,1303536,63436088
EMOLLIENTS,LAC-HYDRIN,AMMONIUM LACTATE,LAC-HYDRIN : AMMONIUM LACTATE,473,443,645,22684
EMOLLIENTS,LACLOTION,AMMONIUM LACTATE,LACLOTION : AMMONIUM LACTATE,7575,3431,20087,343920
EYE WASHES/LUBRICANTS,LACRISERT,HYDROXYPROPYL CELLULOSE,LACRISERT : HYDROXYPROPYL CELLULOSE,1764,1436,5327,2530791
CRYSTALLOIDS FLUIDS,LACTATED RINGERS,"RINGERS SOLUTION,LACTATED","LACTATED RINGERS : RINGERS SOLUTION,LACTATED",1641,925,4730,80426
MISCELLANEOUS AGENTS,LACTIC ACID,LACTIC ACID,LACTIC ACID : LACTIC ACID,19,19,26,495
HYPEROSMOTIC LAXATIVES,LACTULOSE,LACTULOSE,LACTULOSE : LACTULOSE,421056,152862,1518061,30732385
ANTICONVULSANTS,LAMICTAL,LAMOTRIGINE,LAMICTAL : LAMOTRIGINE,10850,8712,93401,68272956
ANTICONVULSANTS,LAMICTAL (BLUE),LAMOTRIGINE,LAMICTAL (BLUE) : LAMOTRIGINE,95,92,103,23090
ANTICONVULSANTS,LAMICTAL (GREEN),LAMOTRIGINE,LAMICTAL (GREEN) : LAMOTRIGINE,173,155,177,113675
ANTICONVULSANTS,LAMICTAL (ORANGE),LAMOTRIGINE,LAMICTAL (ORANGE) : LAMOTRIGINE,1107,898,1139,363631
ANTICONVULSANTS,LAMICTAL ODT,LAMOTRIGINE,LAMICTAL ODT : LAMOTRIGINE,2772,2913,15852,7408880
ANTICONVULSANTS,LAMICTAL ODT (BLUE),LAMOTRIGINE,LAMICTAL ODT (BLUE) : LAMOTRIGINE,13,13,13,2849
ANTICONVULSANTS,LAMICTAL ODT (ORANGE),LAMOTRIGINE,LAMICTAL ODT (ORANGE) : LAMOTRIGINE,239,216,248,76774
ANTICONVULSANTS,LAMICTAL XR,LAMOTRIGINE,LAMICTAL XR : LAMOTRIGINE,5141,3849,32146,30798236
ANTICONVULSANTS,LAMICTAL XR (BLUE),LAMOTRIGINE,LAMICTAL XR (BLUE) : LAMOTRIGINE,15,15,17,3715
ANTICONVULSANTS,LAMICTAL XR (GREEN),LAMOTRIGINE,LAMICTAL XR (GREEN) : LAMOTRIGINE,16,16,16,9785
ANTICONVULSANTS,LAMICTAL XR (ORANGE),LAMOTRIGINE,LAMICTAL XR (ORANGE) : LAMOTRIGINE,67,67,68,20802
ANTIFUNGALS,LAMISIL,TERBINAFINE HCL,LAMISIL : TERBINAFINE HCL,260,244,402,189666
ANTIVIRALS,LAMIVUDINE,LAMIVUDINE,LAMIVUDINE : LAMIVUDINE,9182,6021,67182,19163095
ANTIVIRALS,LAMIVUDINE-ZIDOVUDINE,LAMIVUDINE/ZIDOVUDINE,LAMIVUDINE-ZIDOVUDINE : LAMIVUDINE/ZIDOVUDINE,8399,5554,66262,46273955
ANTICONVULSANTS,LAMOTRIGINE,LAMOTRIGINE,LAMOTRIGINE : LAMOTRIGINE,392578,140244,2962072,58389914
ANTICONVULSANTS,LAMOTRIGINE ER,LAMOTRIGINE,LAMOTRIGINE ER : LAMOTRIGINE,6902,5797,29879,18271889
DIGITALIS GLYCOSIDES,LANOXIN,DIGOXIN,LANOXIN : DIGOXIN,30440,23472,155482,5536067
H. PYLORI AGENTS,LANSOPRAZOL-AMOXICIL-CLARITHRO,LANSOPRAZOLE/AMOXICILN/CLARITH,LANSOPRAZOL-AMOXICIL-CLARITHRO : LANSOPRAZOLE/AMOXICILN/CLARITH,3158,2676,3200,1416627
"GASTRIC MEDICATIONS,OTHER",DELZICOL,MESALAMINE,DELZICOL : MESALAMINE,22041,16709,80102,35740582
INSULIN,LANTUS,"INSULIN GLARGINE,HUM.REC.ANLOG","LANTUS : INSULIN GLARGINE,HUM.REC.ANLOG",838393,226918,4601857,1311093861
INSULIN,LANTUS SOLOSTAR,"INSULIN GLARGINE,HUM.REC.ANLOG","LANTUS SOLOSTAR : INSULIN GLARGINE,HUM.REC.ANLOG",862887,212687,3863847,1371996461
CONTRACEPTIVES/WOMANS HEALTH ,LARIN FE,NORETH A-ET ESTRA/FE FUMARATE,LARIN FE : NORETH A-ET ESTRA/FE FUMARATE,73,73,79,2040
LOOP DIURETICS,LASIX,FUROSEMIDE,LASIX : FUROSEMIDE,9590,9936,36618,1337550
